"id","productName","price","description","picture","stock","categoryId"
20,Cotton candy,100,descripcion random,https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/opcion%20ramo%201.png?alt=media&token=1502152d-f99f-443f-b487-f876ccd2b0b5,4,1
21,Pinutbutter,45.2,descripcion random,https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/opcion%20ramo%2010.png?alt=media&token=3cd6ca99-ea3e-44bc-8484-0aa18411ea94,5,1
22,Pink cloud,53.1,descripcion random,https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/opcion%20ramo%2011.png?alt=media&token=2eefd94b-746b-408a-8267-c46f476304ee,3,1
23,Marvellous,25,descripcion random,https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/planta%201.png?alt=media&token=fc47171a-64cd-4cab-a2fa-4a1895c43415,4,4
24,Scorching hug,60.99,descripcion random,https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/opcion%20ramo%2012.png?alt=media&token=20f69ea5-81f9-4d9f-96d1-baf59331c014,4,1
1,Hot mamma,37.5,descripcion random,https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/opcion%20ramo%202.png?alt=media&token=b0de0cb5-c3a9-458c-99d7-d4b7ca92e720,5,1
19,Spring nigths,79.8,"Maternal care for fetal problem, unsp, unspecified trimester",https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/opcion%20ramo%203.png?alt=media&token=54b29712-1cde-42a0-9f7e-4064d3f4156f,20,1
2,Fall in love,13.41,"Idiopathic chronic gout, unspecified hand, with tophus",https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/opcion%20ramo%203.png?alt=media&token=54b29712-1cde-42a0-9f7e-4064d3f4156f,1,4
3,love yourself,18.43,"Adverse effect of other psychotropic drugs, subs encntr",https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/planta%2011.png?alt=media&token=0ff3562a-86f6-40fc-995d-8a90abcfbd70,2,4
4,Kiss me slowly,87.46,"Disp fx of neck of first metacarpal bone, unspecified hand",https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/planta%2011.png?alt=media&token=0ff3562a-86f6-40fc-995d-8a90abcfbd70,3,4
5,Our big deal,77.74,Oth Rh incompat reaction due to transfusion of bld/bld prod,https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/planta%202.png?alt=media&token=15e7a58d-af8d-4cbf-8052-34b0fa1d4ea2,4,4
6,Morning-glory,37.27,"Nondisp fx of shaft of fifth MC bone, left hand, init",https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/planta%203.png?alt=media&token=f9b2a564-4ae1-4167-a572-aaf9461292d0,5,4
7,Dancing with the Evil,11.39,Encounter for fitting and adjustment of artificial leg,https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/planta%204.png?alt=media&token=c75ad3e2-9f64-4043-a9a9-0ebb49fb37fb,6,4
8,Lavander Sky,78.78,"External constriction of unspecified wrist, subs encntr",https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/planta%205.png?alt=media&token=c34beafd-04a9-49fa-9189-c6de0dc30662,7,4
9,Winter is comming,59.07,Personal history of pre-term labor,https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/planta%206.png?alt=media&token=d32f5e1e-ad32-4b00-952e-72d3292a86b4,8,4
10,Hodor,42.12,"Contusion of left thumb with damage to nail, sequela",https://firebasestorage.googleapis.com/v0/b/full-flower-proyect.appspot.com/o/planta%206.png?alt=media&token=d32f5e1e-ad32-4b00-952e-72d3292a86b4,9,4
